                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.6208,                 2.2651,                 1.2353,                0.56094,                0.47363,                0.57088,                0.48054,                0.66801,                 1.6079,                 1.0903,               0.070286,              0.0033016,              0.0033016
                      1,                 0.4827,                 1.1803,                  1.118,                0.55993,                0.66045,                0.64697,                0.55384,                0.64779,                 1.4437,                 1.1858,                0.04022,              0.0065692,              0.0065692
                      2,                 0.5412,                 1.0627,                 1.1321,                0.24797,                0.44271,                0.25879,                0.15012,                 1.5716,                 3.4159,                 2.5973,               0.010088,              0.0097709,              0.0097709
                      3,                0.61859,                 1.1089,                 1.1762,                0.36094,                0.44078,                0.39337,                0.26038,                 1.1432,                 1.9596,                  1.837,               0.009703,               0.009703,               0.009703
                      4,                0.61458,                 1.0627,                 1.1713,                0.67707,                0.51213,                0.52227,                0.39662,                 1.0886,                 1.8986,                 1.8504,               0.009703,               0.009703,               0.009703
                      5,                0.60472,                 1.0435,                 1.1569,                0.61372,                0.75751,                0.72108,                0.59429,                0.69695,                 1.1042,                 1.1777,               0.009604,               0.009604,               0.009604
                      6,                0.59105,                0.98766,                  1.149,                0.64871,                0.66415,                 0.6928,                0.57359,                0.75028,                 1.1306,                  1.267,               0.009505,               0.009505,               0.009505
                      7,                 0.5878,                0.92693,                 1.1427,                0.65431,                0.69181,                0.74078,                0.59985,                0.79852,                  1.113,                 1.3075,               0.009406,               0.009406,               0.009406
                      8,                0.56271,                0.92538,                 1.1264,                0.69589,                0.74881,                 0.8009,                0.72555,                0.44664,                 0.8455,                0.86831,               0.009307,               0.009307,               0.009307
                      9,                0.56233,                0.88794,                  1.125,                0.65025,                0.76002,                0.78656,                0.68299,                0.55461,                0.92497,                 1.0071,               0.009208,               0.009208,               0.009208
                     10,                0.55015,                0.86271,                 1.1213,                 0.7661,                 0.8243,                0.87199,                0.78276,                0.45121,                0.73395,                0.86532,               0.009109,               0.009109,               0.009109
                     11,                0.53484,                0.84518,                 1.1185,                0.77773,                0.76754,                0.84153,                0.75267,                0.49682,                0.79357,                0.93086,                0.00901,                0.00901,                0.00901
                     12,                0.52863,                0.84022,                  1.101,                0.76366,                0.63087,                0.78106,                0.67903,                0.52513,                0.94469,                0.94988,               0.008911,               0.008911,               0.008911
                     13,                0.50473,                0.81585,                 1.0883,                0.59698,                0.63113,                0.69603,                0.52836,                0.87084,                 1.3549,                 1.4553,               0.008812,               0.008812,               0.008812
                     14,                0.50394,                0.78137,                 1.0891,                 0.7463,                0.53946,                0.65302,                 0.5381,                0.71965,                 1.4927,                 1.1959,               0.008713,               0.008713,               0.008713
                     15,                0.50875,                0.76949,                 1.1007,                0.77876,                0.81073,                0.85854,                0.78074,                0.44975,                 0.7768,                0.87358,               0.008614,               0.008614,               0.008614
                     16,                0.48473,                0.73292,                 1.0818,                0.79879,                0.78026,                0.87579,                0.81581,                0.38895,                0.76609,                0.80909,               0.008515,               0.008515,               0.008515
                     17,                0.47679,                0.72239,                 1.0759,                0.81512,                0.86157,                0.89726,                0.82216,                0.38154,                0.63299,                0.81182,               0.008416,               0.008416,               0.008416
                     18,                0.46611,                0.71342,                 1.0724,                0.69073,                0.67626,                0.75202,                0.60029,                0.80462,                   1.09,                 1.3047,               0.008317,               0.008317,               0.008317
                     19,                0.48495,                0.72487,                 1.0798,                0.72803,                0.81819,                0.85745,                0.78695,                0.45415,                0.76338,                 0.8583,               0.008218,               0.008218,               0.008218
                     20,                 0.4733,                0.69592,                 1.0775,                0.84494,                0.82697,                0.90166,                 0.8344,                 0.4018,                0.61387,                 0.8316,               0.008119,               0.008119,               0.008119
                     21,                0.46339,                0.69467,                 1.0681,                0.80144,                 0.8335,                0.91145,                0.85242,                0.37799,                0.65972,                0.79056,                0.00802,                0.00802,                0.00802
                     22,                0.45641,                0.64838,                  1.061,                0.72534,                0.81229,                0.86521,                0.80801,                0.37221,                0.77725,                0.78849,               0.007921,               0.007921,               0.007921
                     23,                 0.4493,                0.64541,                 1.0591,                0.75059,                0.76732,                0.85311,                 0.7822,                0.42347,                0.77041,                0.84439,               0.007822,               0.007822,               0.007822
                     24,                 0.4379,                0.61646,                 1.0465,                0.79951,                0.84912,                0.89914,                0.84759,                0.36177,                  0.628,                0.76999,               0.007723,               0.007723,               0.007723
                     25,                 0.4483,                0.65117,                 1.0575,                0.79762,                0.76547,                0.86057,                0.78388,                0.43516,                0.75115,                0.85487,               0.007624,               0.007624,               0.007624
                     26,                0.44383,                0.61949,                 1.0611,                0.87541,                0.78004,                0.90775,                0.85581,                0.33892,                0.61697,                0.75642,               0.007525,               0.007525,               0.007525
                     27,                0.43771,                0.61898,                 1.0532,                0.83454,                0.79422,                0.89371,                0.84812,                0.33691,                0.66691,                0.74371,               0.007426,               0.007426,               0.007426
                     28,                  0.426,                0.61714,                 1.0468,                0.85217,                0.86134,                0.92221,                0.87076,                0.35162,                0.56214,                 0.7684,               0.007327,               0.007327,               0.007327
                     29,                0.43194,                0.59425,                 1.0473,                0.82228,                0.86526,                0.91647,                0.85833,                0.34955,                0.59402,                0.76578,               0.007228,               0.007228,               0.007228
                     30,                0.42707,                0.57492,                 1.0447,                0.88852,                0.82017,                0.90589,                0.85972,                 0.3302,                0.59278,                0.73596,               0.007129,               0.007129,               0.007129
                     31,                0.40761,                0.55061,                 1.0331,                0.69062,                0.73626,                0.78966,                0.69567,                0.52979,                 1.0441,                0.96629,                0.00703,                0.00703,                0.00703
                     32,                0.40453,                0.56758,                 1.0409,                0.90324,                0.88354,                0.94681,                0.90352,                0.30157,                0.46888,                0.71924,               0.006931,               0.006931,               0.006931
                     33,                0.39825,                0.54367,                 1.0325,                0.85203,                0.86372,                0.91262,                0.87085,                0.32061,                 0.5647,                0.72949,               0.006832,               0.006832,               0.006832
                     34,                0.40662,                0.54552,                  1.034,                0.79515,                0.64504,                0.77114,                0.66547,                0.59342,                0.96933,                 1.0586,               0.006733,               0.006733,               0.006733
                     35,                0.40536,                0.53805,                 1.0315,                0.87533,                0.83759,                0.92674,                0.87696,                 0.3328,                0.53324,                0.75698,               0.006634,               0.006634,               0.006634
                     36,                0.38924,                0.52663,                 1.0291,                0.83302,                0.85521,                0.90515,                0.86181,                0.31413,                0.56547,                0.73075,               0.006535,               0.006535,               0.006535
                     37,                0.39604,                0.52878,                 1.0259,                0.82465,                0.84666,                0.89882,                  0.853,                 0.3199,                0.60835,                0.73487,               0.006436,               0.006436,               0.006436
                     38,                0.38832,                0.52503,                 1.0252,                0.84005,                0.89522,                0.93038,                0.89616,                0.28785,                0.49377,                0.70097,               0.006337,               0.006337,               0.006337
                     39,                0.38834,                0.52089,                 1.0292,                0.88537,                0.81897,                0.91216,                0.86304,                0.33776,                0.55788,                0.74892,               0.006238,               0.006238,               0.006238
                     40,                0.38336,                0.50818,                 1.0199,                 0.8595,                0.87568,                0.92674,                0.89042,                0.29528,                0.53113,                0.69586,               0.006139,               0.006139,               0.006139
                     41,                0.38569,                0.48655,                 1.0222,                0.87836,                0.85153,                0.91935,                0.87718,                0.30578,                0.53344,                0.71592,                0.00604,                0.00604,                0.00604
                     42,                0.38895,                0.49613,                 1.0338,                0.84941,                0.82092,                0.89425,                0.82433,                0.41555,                0.59137,                0.83973,               0.005941,               0.005941,               0.005941
                     43,                0.37982,                0.49275,                 1.0214,                0.85295,                0.87535,                 0.9295,                0.89132,                0.30865,                0.52477,                0.71979,               0.005842,               0.005842,               0.005842
                     44,                0.37255,                0.47922,                 1.0133,                0.88325,                 0.8639,                0.92513,                0.88935,                0.30517,                0.53058,                0.72032,               0.005743,               0.005743,               0.005743
                     45,                0.37457,                0.48153,                 1.0187,                 0.8699,                0.85859,                0.91912,                0.87881,                0.29697,                0.54158,                0.71613,               0.005644,               0.005644,               0.005644
                     46,                0.37159,                0.48073,                 1.0229,                0.88956,                0.86127,                0.92565,                0.88444,                0.29651,                0.50062,                0.71162,               0.005545,               0.005545,               0.005545
                     47,                0.36235,                0.46476,                  1.013,                0.88087,                0.88606,                0.93602,                0.90589,                 0.2696,                0.50127,                0.67476,               0.005446,               0.005446,               0.005446
                     48,                0.36607,                0.46059,                  1.009,                0.88673,                0.84872,                 0.9238,                0.88756,                0.29766,                0.55649,                0.71394,               0.005347,               0.005347,               0.005347
                     49,                0.36246,                 0.4657,                 1.0123,                0.88784,                 0.8787,                0.94242,                0.90744,                0.27952,                0.47209,                0.68384,               0.005248,               0.005248,               0.005248
                     50,                0.34498,                0.44738,                 1.0007,                0.84924,                0.84311,                0.91844,                0.87027,                0.31692,                0.57708,                0.72847,               0.005149,               0.005149,               0.005149
                     51,                 0.3542,                0.44535,                 1.0069,                0.87075,                0.88109,                0.94002,                0.91107,                0.27078,                0.49181,                0.67221,                0.00505,                0.00505,                0.00505
                     52,                0.34911,                0.45072,                 1.0071,                0.92216,                0.87819,                0.95419,                0.92727,                0.27015,                0.43141,                0.67595,               0.004951,               0.004951,               0.004951
                     53,                0.34214,                0.41837,                0.99733,                0.83071,                0.82576,                0.87479,                0.82351,                0.34783,                0.61649,                0.76561,               0.004852,               0.004852,               0.004852
                     54,                0.34834,                0.44984,                 1.0061,                0.90432,                0.89631,                0.94014,                0.91379,                0.26086,                0.45215,                0.67477,               0.004753,               0.004753,               0.004753
                     55,                0.33845,                0.40806,                0.99621,                0.84043,                0.90447,                 0.9292,                0.89664,                0.28461,                 0.4973,                0.69134,               0.004654,               0.004654,               0.004654
                     56,                0.34309,                0.41722,                0.99783,                0.86406,                0.89679,                0.94316,                0.91482,                 0.2721,                0.49472,                0.68291,               0.004555,               0.004555,               0.004555
                     57,                0.34054,                0.41228,                 0.9973,                0.90785,                0.85759,                0.93867,                0.91062,                0.25744,                0.48064,                0.66866,               0.004456,               0.004456,               0.004456
                     58,                 0.3514,                0.42962,                 1.0038,                0.88555,                0.89682,                0.94116,                0.91237,                0.26322,                0.45694,                 0.6711,               0.004357,               0.004357,               0.004357
                     59,                0.33894,                0.40752,                 1.0006,                0.90061,                0.87327,                 0.9394,                0.90739,                0.26109,                0.44632,                0.66791,               0.004258,               0.004258,               0.004258
                     60,                0.32897,                0.38616,                0.99099,                0.90321,                0.87714,                0.94107,                 0.9117,                0.24711,                0.44568,                 0.6561,               0.004159,               0.004159,               0.004159
                     61,                0.33133,                0.38995,                 0.9965,                0.85082,                 0.8656,                0.92164,                0.89331,                0.25291,                0.51763,                0.67095,                0.00406,                0.00406,                0.00406
                     62,                0.32006,                0.39139,                0.98895,                0.88697,                0.90287,                 0.9404,                0.91096,                0.25529,                0.46057,                0.66395,               0.003961,               0.003961,               0.003961
                     63,                0.33534,                0.37516,                 1.0075,                0.91458,                0.89346,                0.94983,                0.92508,                0.25291,                0.44017,                0.65595,               0.003862,               0.003862,               0.003862
                     64,                0.32298,                0.38005,                0.99443,                0.85484,                0.83206,                0.90842,                0.87363,                 0.2972,                 0.5658,                0.71524,               0.003763,               0.003763,               0.003763
                     65,                0.32236,                0.36363,                0.99164,                0.90373,                0.91228,                0.95148,                0.92406,                0.26142,                0.44729,                0.67515,               0.003664,               0.003664,               0.003664
                     66,                 0.3154,                0.36384,                0.98676,                 0.8928,                0.90116,                0.93845,                0.91334,                0.24608,                0.42761,                0.66857,               0.003565,               0.003565,               0.003565
                     67,                0.31756,                0.37164,                0.99474,                0.90585,                0.86835,                0.93033,                  0.906,                0.25149,                0.46548,                0.67041,               0.003466,               0.003466,               0.003466
                     68,                0.32721,                 0.3797,                0.99443,                0.84218,                0.81178,                0.91226,                0.87304,                0.28772,                0.59726,                0.70374,               0.003367,               0.003367,               0.003367
                     69,                0.30953,                0.35335,                 0.9835,                 0.8945,                 0.9151,                0.93958,                0.91212,                0.25921,                0.44542,                0.67819,               0.003268,               0.003268,               0.003268
                     70,                0.30609,                0.36183,                0.97895,                0.90224,                0.93967,                0.95416,                0.92865,                0.25379,                0.38448,                0.66811,               0.003169,               0.003169,               0.003169
                     71,                0.31056,                0.35403,                0.99029,                0.90626,                0.91935,                0.94231,                0.92067,                 0.2392,                0.42069,                0.65609,                0.00307,                0.00307,                0.00307
                     72,                0.31234,                 0.3541,                0.98558,                0.88191,                 0.8557,                0.91633,                0.87998,                0.29336,                0.54811,                0.70822,               0.002971,               0.002971,               0.002971
                     73,                0.30181,                0.33875,                0.97921,                0.89468,                0.92418,                0.95203,                0.93167,                0.23477,                0.39645,                0.64524,               0.002872,               0.002872,               0.002872
                     74,                0.30094,                0.34267,                 0.9761,                0.88948,                0.91406,                 0.9433,                0.92299,                0.23738,                0.43792,                0.64544,               0.002773,               0.002773,               0.002773
                     75,                0.29566,                0.34057,                0.98241,                0.90755,                0.91139,                 0.9496,                0.92633,                0.23624,                0.40267,                0.64665,               0.002674,               0.002674,               0.002674
                     76,                0.29262,                0.31913,                0.97635,                0.90091,                0.88014,                 0.9323,                0.89907,                0.25928,                0.47372,                0.67434,               0.002575,               0.002575,               0.002575
                     77,                0.29002,                0.31189,                0.98078,                0.91531,                0.88702,                0.94192,                0.92307,                0.22537,                0.43347,                0.64198,               0.002476,               0.002476,               0.002476
                     78,                0.28711,                 0.3209,                0.97117,                0.90279,                0.88955,                0.93772,                 0.9201,                0.23152,                0.43593,                0.65266,               0.002377,               0.002377,               0.002377
                     79,                0.29137,                0.32309,                0.97729,                0.93046,                0.90117,                0.95301,                0.92652,                0.24324,                0.40133,                0.65506,               0.002278,               0.002278,               0.002278
                     80,                0.28262,                0.31668,                0.96926,                0.89017,                0.90488,                0.94403,                0.92549,                0.23199,                0.42658,                0.65292,               0.002179,               0.002179,               0.002179
                     81,                0.28553,                0.30642,                0.97527,                0.92757,                0.91053,                  0.947,                0.92774,                0.22517,                0.38622,                0.64181,                0.00208,                0.00208,                0.00208
                     82,                0.28492,                0.30635,                0.97885,                0.90888,                0.89678,                0.94084,                0.92014,                0.22981,                 0.4159,                0.64818,               0.001981,               0.001981,               0.001981
                     83,                0.27752,                0.30795,                0.97056,                0.91387,                0.93139,                0.95887,                0.93851,                0.22354,                0.36327,                0.64255,               0.001882,               0.001882,               0.001882
                     84,                0.27697,                0.30637,                 0.9712,                 0.9464,                0.92194,                0.96647,                0.94801,                0.21789,                0.34113,                 0.6361,               0.001783,               0.001783,               0.001783
                     85,                0.26236,                0.28834,                0.95884,                0.90525,                0.92189,                0.94329,                0.92315,                0.21644,                0.39521,                0.63652,               0.001684,               0.001684,               0.001684
                     86,                0.27155,                0.30742,                0.97099,                0.84475,                0.82442,                 0.8806,                0.84699,                0.27972,                0.65987,                0.69574,               0.001585,               0.001585,               0.001585
                     87,                0.27085,                0.29792,                0.96541,                0.91827,                0.92042,                0.95267,                0.93197,                0.21646,                0.37437,                0.62528,               0.001486,               0.001486,               0.001486
                     88,                0.26965,                 0.2936,                0.96971,                0.90413,                 0.9199,                0.94686,                0.92732,                0.21277,                 0.3968,                0.62871,               0.001387,               0.001387,               0.001387
                     89,                0.27004,                0.28358,                0.96414,                0.92152,                0.92932,                0.94798,                0.92856,                0.21354,                0.38991,                0.62773,               0.001288,               0.001288,               0.001288
                     90,                0.16984,                0.19322,                0.87623,                0.89935,                0.90751,                0.93831,                0.92002,                0.21198,                  0.428,                0.62733,               0.001189,               0.001189,               0.001189
                     91,                0.16026,                0.18037,                0.86386,                0.87531,                0.87914,                0.90808,                0.88556,                0.23367,                0.47908,                0.65054,                0.00109,                0.00109,                0.00109
                     92,                0.15713,                0.17464,                0.86531,                0.91521,                0.93181,                0.94654,                0.92903,                0.21043,                0.36611,                0.63145,               0.000991,               0.000991,               0.000991
                     93,                0.15292,                0.16499,                0.86138,                0.88299,                0.93432,                0.93579,                  0.916,                0.21375,                0.41036,                0.63373,               0.000892,               0.000892,               0.000892
                     94,                0.14496,                0.15364,                 0.8589,                0.90028,                0.94724,                0.95156,                0.93485,                 0.2057,                 0.3697,                0.62845,               0.000793,               0.000793,               0.000793
                     95,                0.14572,                0.15607,                0.85428,                0.91724,                 0.9219,                0.94809,                0.93008,                0.21012,                0.37525,                0.63098,               0.000694,               0.000694,               0.000694
                     96,                0.14547,                0.14705,                0.86672,                0.91371,                0.90578,                0.94498,                0.92697,                0.20841,                0.39767,                0.62769,               0.000595,               0.000595,               0.000595
                     97,                0.14389,                 0.1521,                0.86323,                0.88598,                0.94038,                0.94892,                 0.9306,                0.20478,                 0.3807,                0.62555,               0.000496,               0.000496,               0.000496
                     98,                0.13908,                0.14324,                0.85566,                0.91916,                0.92121,                0.94789,                0.93041,                0.20157,                0.37821,                0.62401,               0.000397,               0.000397,               0.000397
                     99,                0.13518,                0.14559,                0.85023,                0.92019,                0.92797,                0.95122,                  0.935,                0.19695,                0.36614,                0.61915,               0.000298,               0.000298,               0.000298
